"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Suspended Solids (mg/L)","Total Phosphorus (mg/L)","Total Nitrogen (mg/L)","Ammonia Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","Total Inorganic Nitrogen (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Turbidity (NTU)","pH","Temperature (°C)","Salinity (psu)"
"Port Shelter","PM1","1986-01-15","1","Surface Water","N/A","N/A","N/A","N/A","N/A","N/A","N/A","94","N/A","<4","1","N/A","16.9","32.6"
"Port Shelter","PM1","1986-01-15","1","Middle Water","1.1","36","<0.02","N/A","N/A","N/A","N/A","99","N/A","<4","1.4","8.3","16.6","32.9"
"Port Shelter","PM1","1986-01-15","1","Bottom Water","N/A","N/A","N/A","N/A","N/A","N/A","N/A","100","N/A","<4","0.7","N/A","16.5","32.9"
"Port Shelter","PM1","1986-03-10","1","Surface Water","N/A","N/A","N/A","N/A","N/A","N/A","N/A","106","N/A","350","0.8","N/A","15.7","32"
"Port Shelter","PM1","1986-03-10","1","Middle Water","1","13","<0.02","N/A","N/A","N/A","N/A","110","N/A","<4","0.6","8","15.3","32"
"Port Shelter","PM1","1986-03-10","1","Bottom Water","N/A","N/A","N/A","N/A","N/A","N/A","N/A","112","N/A","20","0.5","N/A","13.9","32"
"Port Shelter","PM1","1988-01-04","1","Surface Water","1.4","9.5","0.04","0.48","0.035","0.006","0.04","96","7.5","2","5","8.4","18.6","31.3"
"Port Shelter","PM1","1988-01-04","1","Middle Water","1.8","8","0.03","0.5","0.025","<0.005","0.03","101","7.8","N/A","4","8.4","18.2","31.5"
"Port Shelter","PM1","1988-01-04","1","Bottom Water","1.5","2","0.05","0.38","0.033","<0.005","0.04","78","6.1","22","3.8","8.4","18","31.5"
"Port Shelter","PM1","1988-02-04","1","Surface Water","1.3","11","0.03","0.32","0.04","<0.005","0.04","106","8.3","2","1.9","8.2","18.1","32.8"
"Port Shelter","PM1","1988-02-04","1","Middle Water","1.5","16","0.04","0.38","0.033","0.005","0.04","106","8.3","4","1.8","8.3","18.1","32.8"
"Port Shelter","PM1","1988-02-04","1","Bottom Water","1.3","13","0.04","0.39","0.04","0.007","0.05","105","8.2","1","2","8.2","18.1","32.8"
"Port Shelter","PM1","1988-03-03","1","Surface Water","1.6","14","0.1","0.74","0.011","<0.005","0.02","96","7.8","10","1.4","8.2","16","32.6"
"Port Shelter","PM1","1988-03-03","1","Middle Water","1.5","2.5","0.07","0.44","0.026","<0.005","0.03","96","7.9","10","1.4","8.2","16","32.2"
"Port Shelter","PM1","1988-03-03","1","Bottom Water","1.6","2.5","0.06","0.49","0.006","<0.005","0.01","96","7.8","6","1.2","8.2","16","32.6"
"Port Shelter","PM1","1988-04-07","1","Surface Water","1.5","2.5","0.04","0.46","0.023","<0.005","0.03","99","7.9","8","5.7","8.3","16.8","32.4"
"Port Shelter","PM1","1988-04-07","1","Middle Water","2","2.5","0.02","0.61","0.017","<0.005","0.02","92","7.4","10","3.1","8.3","16.8","32.6"
"Port Shelter","PM1","1988-04-07","1","Bottom Water","0.7","2.5","0.02","0.89","0.011","<0.005","0.02","83","6.5","6","5.8","8.2","16.7","32.7"
"Port Shelter","PM1","1988-05-09","1","Surface Water","1.3","1","0.06","0.34","0.005","0.013","0.01","106","7.1","1","2.8","8.3","28.1","26.5"
"Port Shelter","PM1","1988-05-09","1","Middle Water","1.1","2","0.03","0.52","<0.005","0.005","0.01","64","4.8","4","3.3","8.3","21.8","27.6"
"Port Shelter","PM1","1988-05-09","1","Bottom Water","0.6","1","0.04","0.79","<0.005","0.011","0.01","49","3.7","1","3.4","8","21","27.8"
"Port Shelter","PM1","1988-06-02","1","Surface Water","0.9","3.5","0.02","0.63","0.006","<0.005","0.01","82","5.6","1","5","8.1","25.3","33.5"
"Port Shelter","PM1","1988-06-02","1","Middle Water","0.8","2","<0.02","0.38","0.006","<0.005","0.01","80","5.4","1","5.2","8.2","25.1","33.6"
"Port Shelter","PM1","1988-06-02","1","Bottom Water","0.9","3.5","0.02","0.46","0.006","<0.005","0.01","68","4.6","1","7.5","8.1","24.9","33.5"
"Port Shelter","PM1","1988-07-04","1","Surface Water","0.7","3","0.03","0.32","0.006","<0.005","0.01","99","6.4","2","3","8.3","28.9","31.2"
"Port Shelter","PM1","1988-07-04","1","Middle Water","0.5","2","0.05","0.54","0.01","<0.005","0.02","71","4.8","2","3.5","8.2","25.3","33.7"
"Port Shelter","PM1","1988-07-04","1","Bottom Water","0.9","4.5","0.03","0.43","0.006","0.008","0.01","39","2.7","30","5","8.1","23.7","34.3"
