"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Suspended Solids (mg/L)","Total Phosphorus (mg/L)","Total Nitrogen (mg/L)","Ammonia Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","Total Inorganic Nitrogen (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Turbidity (NTU)","pH","Temperature (°C)","Salinity (psu)"
"Tolo Harbour and Channel","TM2","1986-01-08","1","Surface Water","3.9","15","0.11","0.78","0.055","0.024","0.1","121","9.9","N/A","5.9","8.5","15.9","32.1"
"Tolo Harbour and Channel","TM2","1986-01-08","1","Middle Water","4","9.5","0.09","0.81","0.042","0.022","0.07","120","9.9","N/A","5.4","8.5","15.9","32.2"
"Tolo Harbour and Channel","TM2","1986-01-08","1","Bottom Water","3.2","40","0.12","0.75","0.09","0.023","0.13","104","8.4","N/A","6.3","8.4","15.9","32.3"
"Tolo Harbour and Channel","TM2","1986-01-22","1","Surface Water","1.4","3","0.1","0.94","0.119","0.05","0.22","103","8.2","N/A","2.7","8.6","17.4","32.1"
"Tolo Harbour and Channel","TM2","1986-01-22","1","Middle Water","1.6","1.5","0.13","1.01","0.13","0.061","0.22","103","8.2","N/A","2.5","8.5","17.5","32"
"Tolo Harbour and Channel","TM2","1986-01-22","1","Bottom Water","1.4","4","0.09","0.79","0.13","0.076","0.25","95","7.6","N/A","2.8","8.5","17.5","32.2"
"Tolo Harbour and Channel","TM2","1986-02-05","1","Surface Water","3.4","3.5","0.19","1.41","0.389","0.09","0.7","75","6.1","N/A","5.1","7.9","16.3","31.6"
"Tolo Harbour and Channel","TM2","1986-02-05","1","Middle Water","2","<0.5","0.08","0.83","0.199","0.06","0.37","68","5.5","N/A","4.8","7.9","16.8","32.3"
"Tolo Harbour and Channel","TM2","1986-02-05","1","Bottom Water","1.7","2.5","0.11","0.9","0.199","0.034","0.33","67","5.4","N/A","4.6","7.8","16.8","32.5"
"Tolo Harbour and Channel","TM2","1986-02-19","1","Surface Water","4","8.5","0.21","1.43","0.149","0.065","0.48","86","7","N/A","7.6","8.1","16.2","29.3"
"Tolo Harbour and Channel","TM2","1986-02-19","1","Middle Water","3.4","9","0.21","1.43","0.169","0.077","0.5","82","6.6","N/A","7.6","8","16.2","29.4"
"Tolo Harbour and Channel","TM2","1986-02-19","1","Bottom Water","3.2","8.5","0.16","1.27","0.169","0.069","0.45","68","5.5","N/A","7.5","8","16.1","29.9"
"Tolo Harbour and Channel","TM2","1986-03-05","1","Surface Water","1.4","2","0.12","0.86","0.35","0.07","0.51","109","9.2","N/A","1.3","8.2","14.7","31.5"
"Tolo Harbour and Channel","TM2","1986-03-05","1","Middle Water","2","1.5","0.05","0.46","0.11","0.028","0.17","110","9.3","N/A","1.7","8.2","14.5","31.9"
"Tolo Harbour and Channel","TM2","1986-03-05","1","Bottom Water","6.1","4","0.12","0.84","0.082","0.02","0.12","105","9","N/A","2.1","8.2","14.4","32.1"
"Tolo Harbour and Channel","TM2","1986-03-19","1","Surface Water","2.4","2","0.09","0.86","0.369","0.049","0.52","77","6.1","N/A","2","8.3","17.7","31.8"
"Tolo Harbour and Channel","TM2","1986-03-19","1","Middle Water","2.1","5.5","0.11","0.88","0.41","0.059","0.58","74","5.8","N/A","1.8","8.3","17.5","31.7"
"Tolo Harbour and Channel","TM2","1986-03-19","1","Bottom Water","2","5","0.13","0.77","0.309","0.046","0.45","67","5.4","N/A","1.9","8.3","17.1","32"
"Tolo Harbour and Channel","TM2","1986-04-02","1","Surface Water","1.4","5","0.11","1.09","0.33","0.052","0.54","83","6.6","N/A","6.4","8","17.1","31.3"
"Tolo Harbour and Channel","TM2","1986-04-02","1","Middle Water","1.1","4.5","0.11","0.92","0.32","0.058","0.53","82","6.6","N/A","3.2","8","17.1","31.5"
"Tolo Harbour and Channel","TM2","1986-04-02","1","Bottom Water","1.6","4","0.12","1.3","0.32","0.036","0.52","83","6.6","N/A","7.8","8","17","31.5"
"Tolo Harbour and Channel","TM2","1986-04-16","1","Surface Water","3.1","4.5","0.19","1.32","0.16","0.061","0.38","93","7","5200","7.6","8.4","19.7","30.1"
"Tolo Harbour and Channel","TM2","1986-04-16","1","Middle Water","1.2","5.5","0.09","0.72","0.079","0.02","0.16","83","6.4","N/A","3.4","8.2","19.6","30.9"
"Tolo Harbour and Channel","TM2","1986-04-16","1","Bottom Water","1.1","8","0.08","0.74","0.073","<0.024","0.17","68","5.2","3600","2.8","8.2","19","30.7"
"Tolo Harbour and Channel","TM2","1986-04-30","1","Surface Water","16","34","0.22","1.31","0.012","0.017","0.03","187","13.3","10","11","8.1","23.6","30.2"
"Tolo Harbour and Channel","TM2","1986-04-30","1","Middle Water","6.2","9","0.08","0.65","0.007","0.005","0.01","146","10.5","N/A","8","8.5","23.2","30.4"
"Tolo Harbour and Channel","TM2","1986-04-30","1","Bottom Water","5.2","6.5","0.06","0.51","0.007","<0.002","0.01","104","7.6","30","5.4","8.5","22.5","30.5"
"Tolo Harbour and Channel","TM2","1986-05-14","1","Surface Water","3.2","4.5","0.07","0.69","0.149","0.019","0.27","46","3.2","2900","5.5","8.3","26.5","27.2"
"Tolo Harbour and Channel","TM2","1986-05-14","1","Middle Water","1.9","3.5","0.09","0.61","0.19","0.058","0.32","25","1.8","N/A","4.4","8","23.7","29.4"
"Tolo Harbour and Channel","TM2","1986-05-14","1","Bottom Water","0.7","3","0.04","0.46","0.22","0.037","0.25","20","1.5","200","2.8","7.8","23.3","31.5"
"Tolo Harbour and Channel","TM2","1986-05-28","1","Surface Water","6.6","16","0.13","1.2","0.289","0.014","0.39","125","8.4","2300","5.6","8.6","27.2","29.5"
"Tolo Harbour and Channel","TM2","1986-05-28","1","Middle Water","3.3","5","0.07","0.74","0.16","0.01","0.28","81","5.5","N/A","4.3","8.5","25.9","29.9"
"Tolo Harbour and Channel","TM2","1986-05-28","1","Bottom Water","2","5","0.05","0.55","0.13","0.01","0.19","41","2.8","330","4.6","8.2","25.2","30.5"
"Tolo Harbour and Channel","TM2","1986-06-10","1","Surface Water","6.6","3","0.12","0.96","0.039","0.033","0.26","95","6.5","330","4.7","8.8","26","25.4"
"Tolo Harbour and Channel","TM2","1986-06-10","1","Middle Water","1.7","2.5","0.06","0.64","0.24","0.043","0.31","41","2.8","N/A","4.7","8","26.3","29.1"
"Tolo Harbour and Channel","TM2","1986-06-10","1","Bottom Water","1","3.5","0.08","0.78","0.055","0.028","0.09","9","0.6","230","3.6","7.8","26","30.4"
"Tolo Harbour and Channel","TM2","1986-06-25","1","Surface Water","4.6","3","0.1","0.63","0.056","0.012","0.11","98","6.4","2400","4.9","8.3","28.7","29.9"
"Tolo Harbour and Channel","TM2","1986-06-25","1","Middle Water","2.2","3.5","0.07","0.69","0.058","0.021","0.13","89","5.8","N/A","3.7","8.1","28.7","30.4"
"Tolo Harbour and Channel","TM2","1986-06-25","1","Bottom Water","1.4","2.5","0.05","0.41","0.056","0.009","0.1","73","4.8","430","3.2","8.1","28.6","30.9"
"Tolo Harbour and Channel","TM2","1986-07-09","1","Surface Water","2.8","1.5","0.14","1.08","0.25","0.11","0.48","99","6.4","710","3.4","8.4","29.4","29.5"
"Tolo Harbour and Channel","TM2","1986-07-09","1","Middle Water","1","3","0.09","0.69","0.169","0.048","0.28","49","3.2","N/A","5.1","8.1","28.3","31.7"
"Tolo Harbour and Channel","TM2","1986-07-09","1","Bottom Water","2.2","15","0.28","0.88","0.149","0.04","0.23","5","0.3","91","7.5","7.9","25.5","33"
"Tolo Harbour and Channel","TM2","1986-07-23","1","Surface Water","3.5","2","0.09","0.55","0.022","0.018","0.14","93","6.1","2400","2.5","8.2","28.1","28.7"
"Tolo Harbour and Channel","TM2","1986-07-23","1","Middle Water","3.1","2.5","0.08","0.61","0.11","0.036","0.24","81","5.4","N/A","2.5","8.2","27.7","29"
"Tolo Harbour and Channel","TM2","1986-07-23","1","Bottom Water","2.3","2.5","0.06","0.98","0.09","0.024","0.16","68","4.5","770","2.2","8.1","27.7","29.3"
"Tolo Harbour and Channel","TM2","1986-08-06","1","Surface Water","6.1","5.5","0.09","0.72","<0.005","0.012","0.01","N/A","15.4","740","3.3","8.7","31.2","29.5"
"Tolo Harbour and Channel","TM2","1986-08-06","1","Middle Water","4.5","4.5","0.1","1.22","0.097","0.037","0.12","127","9.5","N/A","4.3","8.5","30.7","29.8"
"Tolo Harbour and Channel","TM2","1986-08-06","1","Bottom Water","3.8","13","0.11","0.95","0.097","0.025","0.12","81","6.1","350","4.5","8.4","29.9","30"
"Tolo Harbour and Channel","TM2","1986-08-22","1","Surface Water","1.9","2","0.1","0.93","0.24","0.06","0.38","67","4.4","2800","3.7","8.2","29.1","24"
"Tolo Harbour and Channel","TM2","1986-08-22","1","Middle Water","1.3","2.5","0.13","0.88","0.179","0.06","0.3","65","4.3","N/A","2.8","8.2","29.5","26.6"
"Tolo Harbour and Channel","TM2","1986-08-22","1","Bottom Water","3.3","6.5","0.06","0.55","0.149","0.02","0.17","51","3.4","39","7.3","7.9","29.2","27.5"
"Tolo Harbour and Channel","TM2","1986-09-03","1","Surface Water","4.4","4.5","0.09","0.59","0.091","0.039","0.11","131","8.6","83","4","8.6","29.8","31"
"Tolo Harbour and Channel","TM2","1986-09-03","1","Middle Water","2.8","3","0.1","0.74","0.11","0.043","0.18","65","4.3","N/A","3.7","8.3","28.9","32.5"
"Tolo Harbour and Channel","TM2","1986-09-03","1","Bottom Water","1.7","4","0.09","0.65","0.199","0.057","0.35","27","1.8","1","6.4","8.2","28.2","33"
"Tolo Harbour and Channel","TM2","1986-09-17","1","Surface Water","6.1","1.5","0.1","0.87","0.149","0.017","0.16","94","6.2","450","5.1","8.2","29","28.9"
"Tolo Harbour and Channel","TM2","1986-09-17","1","Middle Water","4.9","2.5","0.08","0.55","0.039","0.013","0.04","98","6.4","N/A","3.5","8.2","29.1","29.4"
"Tolo Harbour and Channel","TM2","1986-09-17","1","Bottom Water","2.8","1","0.07","0.54","0.092","0.027","0.23","40","2.6","340","3.1","8","29.2","30.2"
"Tolo Harbour and Channel","TM2","1986-10-01","1","Surface Water","5.4","2.5","0.1","0.87","0.097","0.056","0.29","75","5","1100","5","8.4","26.8","30.7"
"Tolo Harbour and Channel","TM2","1986-10-01","1","Middle Water","4.7","4","0.08","0.66","0.13","0.032","0.26","63","4.2","N/A","6.5","8.3","26.8","30.7"
"Tolo Harbour and Channel","TM2","1986-10-01","1","Bottom Water","5.1","9.5","0.1","0.69","0.072","0.014","0.2","49","3.3","700","21","8.3","26.8","30.7"
"Tolo Harbour and Channel","TM2","1986-10-15","1","Surface Water","2.6","<0.5","0.1","0.44","0.04","0.03","0.15","54","3.6","2300","2.7","8.2","27.2","31.8"
"Tolo Harbour and Channel","TM2","1986-10-15","1","Middle Water","1.7","<0.5","0.08","0.35","0.038","0.028","0.15","25","1.6","N/A","2.2","8.2","27","32.2"
"Tolo Harbour and Channel","TM2","1986-10-15","1","Bottom Water","1.4","0.5","0.06","0.4","0.11","0.029","0.22","13","0.9","110","3.2","8.3","26.9","32.4"
"Tolo Harbour and Channel","TM2","1986-10-29","1","Surface Water","1.1","5","0.12","0.74","0.33","0.017","0.5","67","4.6","330","6.5","7.9","24.4","30.9"
"Tolo Harbour and Channel","TM2","1986-10-29","1","Middle Water","1.3","3.5","0.12","0.74","0.25","0.015","0.35","68","4.7","N/A","5.4","7.9","24.5","30.8"
"Tolo Harbour and Channel","TM2","1986-10-29","1","Bottom Water","1.4","6","0.17","0.66","0.22","0.012","0.31","74","5.1","250","5.1","8","24.6","31.2"
"Tolo Harbour and Channel","TM2","1986-11-12","1","Surface Water","4.6","5.5","0.06","0.88","0.047","0.06","0.34","98","7.1","750","2.9","8.4","22.2","30.7"
"Tolo Harbour and Channel","TM2","1986-11-12","1","Bottom Water","2.2","24","0.07","0.66","0.16","0.045","0.27","68","4.8","20","30","8.2","22.9","32.3"
"Tolo Harbour and Channel","TM2","1986-11-26","1","Surface Water","3.3","2.5","0.14","0.93","0.169","0.11","0.47","85","6.3","1300","6.2","8.2","21","30.7"
"Tolo Harbour and Channel","TM2","1986-11-26","1","Bottom Water","3","3","0.14","0.9","0.169","0.089","0.5","64","4.6","1500","4.9","8.2","21.8","30.8"
"Tolo Harbour and Channel","TM2","1986-12-10","1","Surface Water","4.9","5","0.15","1.38","0.149","0.091","0.43","87","6.6","2200","4.8","8.4","19.3","30.7"
"Tolo Harbour and Channel","TM2","1986-12-10","1","Bottom Water","3.6","13","0.15","0.76","0.094","0.047","0.24","54","4.1","840","9.6","8.3","19.8","31.4"
"Tolo Harbour and Channel","TM2","1986-12-23","1","Surface Water","5","3.5","0.11","1.41","0.35","0.095","0.76","86","6.6","1200","9.5","8.3","18.7","30.8"
"Tolo Harbour and Channel","TM2","1986-12-23","1","Bottom Water","4.9","3.5","0.13","1.62","0.419","0.13","0.84","72","5.5","2000","5.1","8.2","18.6","30.9"
"Tolo Harbour and Channel","TM2","1987-01-07","1","Surface Water","6.3","9.5","0.17","1.46","0.033","0.038","0.3","119","9.2","340","6.1","8.6","18.8","28.2"
"Tolo Harbour and Channel","TM2","1987-01-07","1","Middle Water","6","19","0.05","0.74","0.008","0.014","0.15","97","7.2","N/A","5.5","8.6","18.7","30.1"
"Tolo Harbour and Channel","TM2","1987-01-07","1","Bottom Water","1.9","38","0.04","0.75","0.082","0.036","0.24","77","5.9","63","4.6","8.3","18.7","31.2"
"Tolo Harbour and Channel","TM2","1987-01-21","1","Surface Water","1.7","1","0.1","0.58","0.22","0.07","0.33","64","5","27","2.4","8.2","18.2","31"
"Tolo Harbour and Channel","TM2","1987-01-21","1","Bottom Water","1.5","1.5","0.14","0.65","0.229","0.07","0.37","62","4.9","30","2.5","8.2","18.3","31"
"Tolo Harbour and Channel","TM2","1987-02-04","1","Surface Water","3.3","2.5","0.29","1.23","0.24","0.16","0.67","110","8.9","550","3.2","8.3","16.9","30.3"
"Tolo Harbour and Channel","TM2","1987-02-04","1","Bottom Water","2.2","24","0.26","1.23","0.19","0.169","0.64","107","8.7","800","2.8","8.2","16.9","30.3"
"Tolo Harbour and Channel","TM2","1987-02-17","1","Surface Water","4.1","1","0.27","0.97","0.21","0.13","0.49","86","6.7","800","3.8","8.4","19.2","30"
"Tolo Harbour and Channel","TM2","1987-02-17","1","Bottom Water","1.7","1.5","0.18","0.75","0.25","0.119","0.48","67","5.3","600","3.5","8.1","19.1","30.8"
"Tolo Harbour and Channel","TM2","1987-03-04","1","Surface Water","2.7","8.5","0.32","1.31","0.619","0.179","0.83","86","6.7","700","3.3","8.1","18.3","30.2"
"Tolo Harbour and Channel","TM2","1987-03-04","1","Bottom Water","1.1","7","0.12","0.68","0.24","0.072","0.33","71","5.6","42","3.2","8","18.3","30.3"
"Tolo Harbour and Channel","TM2","1987-03-18","1","Surface Water","1.5","22","0.16","0.7","0.41","0.16","0.7","73","5.5","34000","23","8.1","20.3","25.4"
"Tolo Harbour and Channel","TM2","1987-03-18","1","Bottom Water","0.3","8","0.11","0.36","0.19","0.062","0.28","70","5.3","4200","11.5","8.1","20.3","30.4"
"Tolo Harbour and Channel","TM2","1987-04-01","1","Surface Water","7.3","13","0.17","1.38","0.279","0.149","0.55","105","7.8","300","4.2","8.3","21","29.8"
"Tolo Harbour and Channel","TM2","1987-04-01","1","Middle Water","5.6","5.5","0.25","1","0.399","0.13","0.62","92","6.8","N/A","3.4","8.3","20.9","30"
"Tolo Harbour and Channel","TM2","1987-04-01","1","Bottom Water","3.4","4.5","0.21","0.65","0.22","0.085","0.36","81","6.1","110","3.1","8.2","20.8","30.3"
"Tolo Harbour and Channel","TM2","1987-04-15","1","Surface Water","2.2","4","0.19","1.41","0.38","0.19","0.95","71","5.4","7500","3.8","7.5","19.8","27.9"
"Tolo Harbour and Channel","TM2","1987-04-15","1","Middle Water","0.6","3","0.09","0.8","0.139","0.058","0.46","75","5.7","N/A","1","7.8","20.3","30.3"
"Tolo Harbour and Channel","TM2","1987-04-15","1","Bottom Water","0.3","1.5","0.06","0.69","0.119","0.043","0.43","63","4.8","300","0.6","7.8","20.7","30.2"
"Tolo Harbour and Channel","TM2","1987-04-29","1","Surface Water","2.5","9","0.24","0.69","0.016","0.035","0.04","100","7.4","3200","2.8","8.3","23.4","29.9"
"Tolo Harbour and Channel","TM2","1987-04-29","1","Bottom Water","0.8","6.5","0.29","0.85","<0.005","0.042","0.03","72","5.1","1100","2.1","8.2","23.4","30.6"
"Tolo Harbour and Channel","TM2","1987-05-13","1","Surface Water","3.3","20","0.15","1.04","0.085","0.085","0.27","192","12.9","1000","18.9","8","27.2","29.7"
"Tolo Harbour and Channel","TM2","1987-05-13","1","Bottom Water","2.7","11","0.1","0.76","0.1","0.089","0.32","86","6.1","800","12.3","7.9","24.4","29.9"
"Tolo Harbour and Channel","TM2","1987-05-27","1","Surface Water","3.7","9","0.15","1.33","0.089","0.119","0.42","76","5.2","5500","4.3","8.2","25.8","25.1"
"Tolo Harbour and Channel","TM2","1987-05-27","1","Bottom Water","2.6","4.5","0.17","1.07","0.149","0.11","0.45","43","2.8","330","2.6","8","24.7","29.8"
"Tolo Harbour and Channel","TM2","1987-06-10","1","Surface Water","3.2","5.5","0.18","1.14","0.083","0.149","0.53","91","6.2","400","2.9","8.2","25.2","25.9"
"Tolo Harbour and Channel","TM2","1987-06-10","1","Bottom Water","1.2","2.5","0.13","0.62","0.087","0.086","0.27","45","3","420","1.4","8.2","25.4","29.6"
"Tolo Harbour and Channel","TM2","1987-06-24","1","Surface Water","0.9","3.5","0.06","0.51","0.119","0.017","0.18","60","4","1200","3.1","7.9","26.6","29"
"Tolo Harbour and Channel","TM2","1987-06-24","1","Bottom Water","1.1","4","0.07","0.53","0.074","0.019","0.13","63","4.2","810","2.9","7.9","26.3","29.5"
"Tolo Harbour and Channel","TM2","1987-07-09","1","Surface Water","4.7","13","0.08","0.82","0.14","0.024","0.15","124","8.1","3600","3.9","8.5","29.3","27.1"
"Tolo Harbour and Channel","TM2","1987-07-09","1","Bottom Water","3.3","4","0.21","0.61","0.17","0.061","0.22","86","5.5","540","3.4","8.2","29.8","29.5"
"Tolo Harbour and Channel","TM2","1987-07-22","1","Surface Water","1.6","10","0.06","0.6","0.014","0.003","0.03","85","5.5","1300","5","8.2","29","31.5"
