"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Suspended Solids (mg/L)","Total Phosphorus (mg/L)","Total Nitrogen (mg/L)","Ammonia Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","Total Inorganic Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Turbidity (NTU)","pH","Temperature (°C)","Salinity (psu)"
"North Western","NM1","1988-01-21","1","Surface Water","0.7","10","0.07","0.43","0.048","0.03","0.11","3.6","85","6.7","130","8","8.2","17.9","32.1"
"North Western","NM1","1988-01-21","1","Middle Water","0.7","8","0.03","0.5","0.045","0.019","0.11","3.8","85","6.7","160","8.4","8.2","17.9","32.1"
"North Western","NM1","1988-01-21","1","Bottom Water","1","24","0.05","0.46","0.039","0.019","0.1","4","87","6.8","100","8","8.2","17.8","32.2"
"North Western","NM1","1988-03-21","1","Surface Water","1.1","15","0.22","0.87","0.11","0.034","0.23","1.5","82","6.7","110","11.5","8","16.7","31.1"
"North Western","NM1","1988-03-21","1","Middle Water","0.5","13","0.05","0.7","0.094","0.026","0.22","1.3","81","6.5","100","10","8","16.6","31.2"
"North Western","NM1","1988-03-21","1","Bottom Water","0.6","12","0.06","0.79","0.11","0.032","0.23","1.9","N/A","N/A","190","9.5","8","N/A","N/A"
"North Western","NM1","1988-05-16","1","Surface Water","0.5","2.5","0.03","0.74","0.042","0.012","0.23","2.9","90","6.3","37","4.9","8.2","25.2","27.4"
"North Western","NM1","1988-05-16","1","Middle Water","0.6","2.5","0.04","0.92","0.036","0.016","0.23","1.9","78","5.6","650","6.8","8.2","24.7","28.8"
"North Western","NM1","1988-05-16","1","Bottom Water","0.4","14","0.03","0.72","0.036","0.012","0.17","1.1","74","5.3","500","27.6","8.1","24.5","30"
"North Western","NM1","1988-07-12","1","Surface Water","1.3","4.5","0.04","0.74","0.098","0.014","0.4","2.9","95","6.6","13","6.4","8.2","27.1","23.2"
"North Western","NM1","1988-07-12","1","Middle Water","1","4","0.02","0.7","0.041","0.009","0.42","3.6","83","5.8","12","6.5","8.2","26.6","24.5"
